,Coefficient
fastSixes,4.440892098500626e-16
trams,8.881784197001252e-16
fastEight,1.3322676295501878e-15
TerrainParks,0.008540730282789039
Snow Making_ac,0.06964152127550438
fastQuads,0.14547737997932964
SkiableTerrain_ac,0.21407032070945742
LongestRun_mi,0.29326293997389974
yearsOpen,0.3002307928551143
quad,0.33122188517355416
total_chairs,0.4953462039609704
NightSkiing_ac,0.5405527196881587
double,0.6643839361897556
projectedDaysOpen,0.8370411330830675
surface,1.0875080367259569
vertical_drop,1.1932747258934089
triple,1.3179591861210667
Runs,1.363281165537133
averageSnowfall,1.5955824031929313
daysOpenLastYear,1.915797678605768
clusters,3.270906850866541
AdultWeekday,11.236539751311872
Explained Variance,0.5740577921090897
Mean Absolute Error,6.636882972115674
